id,name,active
359,anim_eyepose_asleep,1
360,anim_timerset_getin_01,1
361,anim_observing_around_subtle_01,1
362,anim_feedback_shutup_02,1
363,anim_lowlightcharger_search_getout_01,1
364,anim_eyepose_sad_up,1
365,anim_dancebeat_headliftbody_left_small_01,1
366,anim_eyepose_blink_high,1
367,anim_rtpickup_putdown_01,1
368,anim_onboarding_wakeword_getin_01,1
369,anim_lowlightcharger_search_loop_01,1
370,anim_rtsound_oncharger_observe_behind_right_01,1
371,anim_qa_firmwaremessaging_01,1
372,anim_petting_lvl4_01,1
373,anim_cubeconnection_loop_03,1
374,anim_codelab_getout_01,1
375,anim_turn_to_motion_pounce_right_01,1
376,anim_launch_wakeup_01,1
377,anim_launch_wakeup_04,1
378,anim_rtillumination_lightonwakeup_01,1
379,anim_eyepose_shocked,1
380,anim_gazing_lookatfaces_turn_right_01,1
381,anim_launch_wakeup_03,1
382,anim_launch_wakeup_05,1
383,anim_launch_wakeup_drivingloop_02,1
384,anim_keepaway_pounce_getin_01,1
385,anim_handdetection_lift_01,1
386,anim_rtsound_offcharger_observe_60left_01,1
387,anim_reacttocliff_turnleft_120_01,1
388,anim_reacttocliff_stuckleftside_03,1
389,anim_feedback_iloveyou_01,1
390,anim_reacttoface_unidentified_02_head_angle_40,1
391,anim_freeplay_reacttoface_sayname_02_head_angle_40,1
392,anim_hiking_driving_loop_05,1
393,anim_reacttoblock_lifteffortplacehigh_01,1
394,anim_blackjack_goodluck_01,1
395,anim_onboarding_eyecontact_loop_getout_01,1
396,anim_freeplay_reacttoface_sayname_02_head_angle_-20,1
397,anim_turn_to_motion_pounce_left_01,1
398,anim_blackjack_quit_01,1
399,anim_meetvictor_sayname02_04,1
400,anim_blackjack_getin_01,1
401,anim_wakeword_groggyeyes_getout_01,1
402,anim_chargerdocking_liftup_01,1
403,anim_eyepose_happy,1
404,anim_explorer_huh_far_01,1
405,anim_look_right_01,1
406,anim_face_sleeping,1
407,anim_dancebeat_eyebeat_01,1
408,anim_referencing_smile_01_head_angle_-20,1
409,anim_wakeword_idk_02,1
410,anim_explorer_scan_left_02,1
411,anim_rtshake_lv1pregetout_01,1
412,anim_explorer_scan_left_01,1
413,anim_eyecontact_giggle_01_head_angle_20,1
414,anim_keepaway_idle_inplace_03,1
415,anim_loco_driving01_loop_03,1
416,anim_rtpickup_loop_02,1
417,anim_explorer_idle_03_head_angle_40,1
418,anim_explorer_idle_01,1
419,anim_micstate_micon_01,1
420,anim_rtsound_offcharger_observe_right_01,1
421,anim_rtpickup_putdown_03,1
422,anim_rtsound_offcharger_asleep_left_01,1
423,anim_loco_driving01_loop_01,1
424,anim_rtmotion_turn45right_01,1
425,anim_reacttocliff_pickup_04,1
426,anim_findcube_searchforcubesturns_03,1
427,anim_cube_psychic_01,1
428,anim_eyecontact_lookloop_01_head_angle_-20,1
429,anim_explorer_lookaround_01,1
430,anim_reacttoblock_happydetermined_02,1
431,anim_pounce_drive_02,1
432,anim_eyepose_normal_r,1
433,anim_dancebeat_headliftbody_right_small_01,1
434,anim_referencing_squint_02_head_angle_20,1
435,anim_heldonpalm_jolt_01,1
436,anim_eyepose_scared,1
437,anim_meetvictor_sayname02_02,1
438,anim_communication_cantdothat_03,1
439,anim_qa_sync_head,1
440,anim_lowlightcharger_search_getin_01,1
441,anim_cubeconnection_connectionsuccess_01,1
442,anim_fistbump_idle_02,1
443,anim_rtillumination_lighttodark_01,1
444,anim_onboarding_wakeword_getout_01,1
445,anim_movement_lookinplaceforfaces_long_head_angle_40,1
446,anim_eyecolorreact_switch_01,1
447,anim_heldonpalm_getin_nervous_01,1
448,anim_explorer_planning_idle_01,1
449,anim_reacttoblock_lifteffortplacelow_01,1
450,anim_pounce_success_04,1
451,anim_observing_far_subtle_01,1
452,anim_rtsound_offcharger_observe_150left_01,1
453,anim_hiking_driving_end_02,1
454,anim_eyepose_normal_r_push,1
455,anim_eyepose_bothered,1
456,anim_rtsound_oncharger_asleep_ambient_01,1
457,anim_timersup_getout_01,1
458,anim_wakeword_turn_right_135degrees_01,1
459,anim_referencing_smile_01_head_angle_20,1
460,anim_rtsound_offcharger_observe_120left_01,1
461,anim_petting_lvl4_getout_01,1
462,anim_movement_getout_01,1
463,anim_eyepose_awe,1
464,anim_timer_beep_01,1
465,anim_eyepose_blink,1
466,anim_reacttocliff_pickup_01,1
467,anim_keepaway_getout_engaged_01,1
468,anim_blackjack_deal_01,1
469,anim_timer_beep_02,1
470,anim_dizzy_reaction_soft_01,1
471,anim_dizzy_reaction_soft_02,1
472,anim_chargerdocking_searchforchargerturns_default_02,1
473,anim_dizzy_reaction_soft_03,1
474,anim_cube_drive_getin_01,1
475,anim_driving_upset_loop_02,1
